Artist,Album,US sales
Kendrick Lamar,Section.80,130000.0
Kendrick Lamar,"Good Kid, M.A.A.D City",1720000.0
Kendrick Lamar,To Pimp a Butterfly,1050000.0
Kendrick Lamar,Damn,1002000.0
Childish Gambino,Camp,242000.0
Childish Gambino,Because the Internet,796000.0
Childish Gambino,"\""Awaken, My Love!\""",1320000.0
Bruno Mars,Doo-Wops &amp; Hooligans,2626000.0
Bruno Mars,Unorthodox Jukebox,2574000.0
Bruno Mars,24K Magic,1000000.0
Drake,Thank Me Later,1830000.0
Drake,Take Care,2338000.0
Drake,Nothing Was the Same,1783000.0
Drake,Views,1730000.0
Drake,Scorpion,381000.0
Eminem,Infinite,1000.0
Eminem,The Slim Shady LP,4000000.0
Eminem,The Marshall Mathers LP,11000000.0
Eminem,The Eminem Show,10600000.0
Eminem,Encore,5343000.0
Eminem,Relapse,2363000.0
Eminem,Recovery,4867000.0
Eminem,The Marshall Mathers LP 2,2244000.0
Eminem,Revival,435000.0
Eminem,Kamikaze,493000.0
Eminem,Music to Be Murdered By,117000.0
Justin Timberlake,Justified,3969000.0
Justin Timberlake,FutureSex/LoveSounds,4720000.0
Justin Timberlake,The 20/20 Experience,2579000.0
Justin Timberlake,The 20/20 Experience \u2013 2 of 2,1137000.0
Justin Timberlake,Man of the Woods,422000.0
Justin Bieber,My World 2.0,3330000.0
Justin Bieber,Under the Mistletoe,1510000.0
Justin Bieber,Believe,1610000.0
Justin Bieber,Purpose,1900000.0
Sia,CD,1200.0
Sia,Colour the Small One,98000.0
Sia,Some People Have Real Problems,51000.0
Sia,1000 Forms of Fear,374000.0
Sia,Everyday Is Christmas,15000.0
Ariana Grande,Yours Truly,596000.0
Ariana Grande,My Everything,735000.0
Ariana Grande,Dangerous Woman,396000.0
Ariana Grande,Sweetener,213000.0
Ariana Grande,"Thank U, Next",279000.0
Beyonce,Dangerously in Love,5100000.0
Beyonce,BDay,3610000.0
Beyonce,I Am... Sasha Fierce,3380000.0
Beyonce,4,1500000.0
Beyonce,Beyonc\u00e9,2512000.0
Beyonce,Lemonade,1554000.0
Corillaz,Gorillaz,1900000.0
Corillaz,Demon Days,2400000.0
Corillaz,Plastic Beach,365000.0
Chris Brown,Chris Brown,2199000.0
Chris Brown,Exclusive,2014000.0
